"col_3__fft_coefficient__coeff_24__attr_""imag""","col_2__fft_coefficient__coeff_54__attr_""imag""","col_1__fft_coefficient__coeff_57__attr_""abs""",col_4__index_mass_quantile__q_0.9,"col_4__fft_coefficient__coeff_62__attr_""imag""","col_1__fft_coefficient__coeff_41__attr_""real""",col_3__partial_autocorrelation__lag_7,"col_2__fft_coefficient__coeff_76__attr_""imag""","col_3__fft_coefficient__coeff_24__attr_""real""","col_2__fft_coefficient__coeff_94__attr_""real""","one_two_MEAN__fft_coefficient__coeff_94__attr_""real""","one_three_MEAN__fft_coefficient__coeff_36__attr_""abs""","total_STD_log__fft_coefficient__coeff_39__attr_""abs""","total_RANGE_log__fft_coefficient__coeff_39__attr_""abs"""
-1.64E-05,-4.06E-05,4.35E-05,0.892671205,-2.36E-05,-4.91E-05,-0.029390164,0.000251704,-4.61E-05,0.000442755,0.000302496,5.02E-06,6.305162495,13.37886963
7.35E-06,5.36E-05,0.000112433,0.89360566,-5.82E-06,-9.33E-06,-0.07718858,0.000425743,5.82E-05,-0.000156552,-0.000127564,7.11E-05,9.421321706,23.46303989
-1.40E-05,-0.000157494,7.77E-05,0.891469764,3.56E-05,-0.000116386,-0.063272475,-0.00019119,-3.84E-05,3.69E-05,8.57E-05,0.000185557,27.27827622,64.61375388
1.02E-05,-0.000173295,9.98E-05,0.892404218,-5.67E-06,1.36E-05,-0.050326136,-0.000293603,7.23E-05,-2.31E-05,-7.18E-05,0.00013014,18.49783204,34.13774628
-9.97E-06,-0.000227936,0.000183375,0.900947804,5.36E-05,-0.000198791,-0.08903652,-0.000431232,1.37E-05,0.000131602,0.000187879,0.000105361,29.66807129,74.26967662
2.24E-06,-7.41E-05,0.000110892,0.896942998,5.68E-05,-0.00014798,-0.086420746,0.000127426,0.000124321,0.000453254,0.00031672,0.000320382,25.9378452,63.30830082
-3.29E-05,-0.000244532,0.000244959,0.906688026,2.41E-05,-0.000158502,-0.056210192,-0.000507085,-0.000116288,5.21E-05,0.000124095,8.18E-05,25.78165288,68.48671571
-3.49E-05,-6.99E-05,4.58E-05,0.903350687,-9.55E-06,0.000115937,-0.049919017,-0.000192695,-0.000153514,-8.10E-05,-1.81E-05,7.26E-05,26.09311385,56.8424886
-2.51E-05,-8.89E-05,6.89E-05,0.890401816,9.77E-06,-4.43E-06,-0.072720983,-0.000262273,-6.77E-05,-0.000394824,-0.000138763,0.000155691,13.41582963,28.20580271
-7.46E-06,6.20E-05,0.000171595,0.916833534,-3.05E-06,-9.63E-05,-0.042066685,0.000177539,8.04E-06,0.000245493,0.000121741,0.00030507,13.86439644,35.3186654
-4.48E-07,1.71E-06,5.75E-05,0.905219597,2.39E-05,-4.15E-05,-0.050241302,-2.36E-07,3.59E-05,5.67E-05,9.45E-05,0.000246598,15.81317337,36.67355079
4.35E-05,-0.00024957,0.000139957,0.908289948,4.58E-05,5.35E-05,-0.065357757,-0.000219753,0.000279827,0.000293373,0.000187358,0.000125627,42.32531904,95.61378803
3.07E-05,-0.000414071,0.00015142,0.909090909,5.93E-06,0.000169954,-0.037717608,-2.56E-05,0.000220209,0.000423166,0.000144646,0.000202272,66.01454987,137.6373778
-1.43E-05,-0.000103034,7.43E-05,0.90268322,-1.41E-05,9.42E-05,-0.028359129,-7.33E-05,-7.25E-05,-0.000183881,-9.84E-05,0.000159439,21.49710452,43.28949206
-4.64E-05,-2.71E-05,3.41E-05,0.91670004,-2.39E-05,0.000161118,-0.034034016,0.00019373,-0.000245328,-5.74E-06,-0.000142561,0.000295017,19.89396838,43.24716027
-2.64E-05,-0.000126624,6.05E-05,0.917901482,-1.11E-05,-1.46E-05,-0.024734622,1.14E-05,-0.000112283,4.51E-05,4.51E-05,0.000139497,24.57254455,51.59423293
-1.39E-05,-9.64E-05,0.000114246,0.916032572,-2.15E-05,-9.87E-05,-0.077906308,-0.000148141,-3.46E-05,0.000271329,9.86E-05,0.000281748,31.24495692,73.83770747
-2.63E-05,-0.000111369,0.000103908,0.898010946,-2.64E-05,2.90E-05,-0.066632343,-0.000212965,-0.000143926,0.000287325,0.000179548,1.02E-05,12.36792785,22.32206197
1.94E-05,-1.65E-05,0.000129746,0.906554532,3.11E-05,-9.13E-05,-0.074644129,-9.87E-05,0.000164412,0.000328476,0.000178295,0.00019638,40.82995744,93.64736911
7.71E-06,-0.000184396,2.17E-05,0.916967027,7.17E-06,-6.35E-05,-0.071742712,-7.62E-05,7.32E-05,0.000186078,0.000191299,0.000302612,56.68801831,128.0371898
2.85E-05,0.00015386,4.35E-05,0.901081298,-1.12E-05,-0.000124376,-0.079027386,0.000623238,0.000154086,0.00014566,0.000152315,0.00019399,18.12387532,33.91453086
-1.94E-06,-0.0003588,0.000112643,0.910826325,4.60E-05,-0.000237525,-0.087547443,-0.000311101,3.45E-05,0.000378305,-4.19E-05,0.000549812,74.61461449,175.7591571
1.85E-05,-0.000403981,0.000258528,0.921772794,9.86E-06,2.51E-05,-0.080120459,-0.000887798,0.000143265,-0.000417846,7.36E-05,0.000627557,53.43436569,119.4266285
3.34E-05,-0.000221946,0.000242728,0.918301962,4.00E-05,-0.000141737,-0.084830133,-0.000116339,0.000199601,0.001184075,0.00089073,0.000534353,73.31342024,166.3078827
3.11E-05,-0.000614422,0.000364643,0.935923108,2.20E-05,-0.000272231,-0.112679009,-0.000891244,0.000209741,0.00115903,0.000874252,0.001095128,17.04860361,38.05513008
5.34E-05,-0.000407558,0.000218109,0.922974236,2.51E-05,-0.000120204,-0.124569631,-0.000576085,0.000308613,0.000908859,0.000700514,0.001019955,44.3881378,102.4002331
5.92E-06,-0.000399336,0.000269231,0.921906288,8.97E-05,-0.000205843,-0.084165778,-0.000555267,3.20E-05,0.001276002,0.001001129,0.00071425,25.50481816,63.96406591
2.33E-05,-0.000225899,0.000313788,0.926578561,8.32E-05,-0.000248987,-0.093883133,-0.000678051,0.000101725,0.00070953,0.000712489,0.00106142,48.63730274,107.704336
-2.20E-05,0.000239992,9.20E-05,0.892671205,-3.08E-05,-6.46E-05,-0.069470902,0.000636799,-0.000101712,0.000227881,0.000154264,5.83E-05,7.668710275,22.51165489
3.04E-07,0.000189205,5.47E-05,0.893872647,2.98E-05,9.92E-06,-0.088418903,0.00038857,5.67E-05,0.000176458,6.04E-05,0.000267396,38.86804339,81.81560705
-7.54E-07,-5.66E-05,8.98E-05,0.900814311,7.27E-06,-7.96E-05,-0.070271437,0.000167426,4.35E-05,0.000158094,7.39E-05,0.000267019,8.012457725,19.28234677
-1.21E-06,6.70E-05,0.000125614,0.895207582,-2.18E-06,-0.000151091,-0.090124114,0.000281686,2.32E-05,-1.76E-05,-4.39E-05,0.000373015,25.55550816,60.6993141
8.40E-06,-5.30E-05,6.56E-05,0.899212388,1.26E-05,-5.33E-05,-0.06498848,7.22E-05,7.72E-05,0.000156468,0.000156828,0.000263401,19.87266836,55.18945322
-3.27E-05,-8.67E-05,0.000105347,0.893872647,3.17E-06,9.97E-05,-0.049990523,0.000362757,-9.96E-05,-0.000717621,-0.000313454,0.000109911,47.6987111,108.9477229
-1.83E-05,-0.000670883,0.000280436,0.931651315,7.70E-05,-0.000214068,-0.054537078,-0.001812885,-3.48E-05,0.000532771,0.000733621,0.000569038,26.6211363,74.91879237
4.95E-05,-0.001133102,0.0001864,0.917100521,6.65E-05,-0.000438819,-0.065213622,-0.002149858,0.000400259,-0.000801539,0.000332569,0.000682058,31.35043614,83.90900307
5.59E-05,-0.001485675,0.000251806,0.918168469,0.00010481,-0.000250347,-0.070799165,-0.003471992,0.000289063,0.000977063,0.000693547,0.000838274,73.21997397,161.2264654
3.06E-06,-0.000139147,0.000117957,0.910025364,4.18E-05,6.66E-05,-0.054747138,0.000386676,5.38E-05,-0.001249046,-0.000420354,0.000159725,15.1963319,40.99964605
-2.51E-05,-0.000337452,4.80E-05,0.902549726,2.17E-05,0.00012819,-0.055088177,0.000229647,-0.000105206,-0.000982419,-0.000300363,8.19E-05,13.83101474,36.36104115
4.16E-05,-0.000150483,0.000205206,0.913629689,-7.62E-06,3.26E-05,-0.048037416,0.000373004,0.000274494,-0.000582933,-3.81E-05,0.000281099,18.28397518,42.5254986
